author,comment
hatypotamous,PENIS TOUCHER
XxMr_Pink_PupxX,"Shame it’s not downloaded, a ps4 with pt still installed on it can sell for a lot of money"
Ardibanan,How is Sims on controller.
_Scept1cal_,I would kill to play that game again
HitmanReborn09,I still have PT downloaded on my PS4 Pro
throoawyyy,"i’m so glad i got to experience that before it was taken down, for a demo it was truly terrifying"
ceelogreenicanth,The most hype I've ever been for a game and nothing.
WarlockOfDestiny,Fuck man what I wouldn't have given to see this game become a reality. Still hurts. Massive potential wasted.
TheOzman79,"Still have PT on my PS4. Will never uninstall it, will never sell the console. I'd be devastated if anything happened to it. Piece of gaming history right there."
Im_high_toto,"Omg i hella forgot about PT, I remember consoles were being sold for an insane amount if they had that demo still on it…."
snypershot,That PlayStation is actually worth a pretty penny for having PT on it.
ComfortableAmount993,It's not installed though and it never will be.
KittenLina,"Unless it's already installed, you can't just reinstall it."
Kindred_03,"Hey your aunt is preserving gaming history, she is doing gods work honestly."
BlasianBoyPeanut,youre rich
ScatterBrainz710,I wish I hadn’t deleted it but like others have said you can’t download it even if it shows this. It’s unfortunate.
UnholyV3nd3tta,Sell it for millions
Tuominator,"As pointed out, too bad it isn’t installed because it’s gone forever now. (As someone who’s in the same situation)"
Dagigai,Don't people pay good money for a system with PT on it?
Leo_crap,Ah yes the abandoned silent hill
Cryptid_Crunch,I both dread and long for the return of The Sims.
Broad-Art8197,I have on all of mine! Having to scream into a mic was a great finisher. I wish more games implemented such Easter eggs.
Ender__dominus,someone explain pls
RoyalGarbage,"Wait, you guys were talking about PT? I thought this was about The Order 1886."
Gl1tchyVirus,Did she have it installed on the other ps4 or is it just deleted because im pretty sure that once you deleted it it was gone
Ray_Mang,My PS4 still has PT downloaded. Is it actually rare and/or worth anything?
420StarWars,That ps4 is worth a lot now
SirGallyo,Pretty sure there is some remake by a YouTuber with 30k subs. It’s on IOS and Android aswell
CDL_Main,Has to be already downloaded on the system or it isn't usable. Was completely delisted and Konami has prevented any further downloads of the Playable Trailer because they're twats.
DarkSoldier856,"I’m assuming this is silent hill pt? 

Never played any of the silent hill games, but seen gameplay of pt in vr…. Prolly some of the most creepiest 💩 I’ve seen."
MobOnAHighHorse,Arent people paying a lot for console with it in it?
gonzo12678,"Definitely play Spiderman and P.T, though this last one is just a little horror game not to scary."
MrFoxManBoy,Dang. You found yourself a very pricey Playstation. Congrats.
bluepsycho65,I remember when that PT demo first came out….
redapplefiend,THE SACRED TEXTS
Constantly_Annoyed,Genuinely one of the scariest horror experiences ever
Chomper731,"So after reading the comments I have been informed that I can't redownload it normally, and the process to be able to redownload it is with a PC which nobody in my family has. The only computer we have is a laptop that my grandfather uses for work purposes."
Wolffire_88,Man: Game of the Year edition
win_at_losing,You don't have it. If you try to dl it it won't find it. :(
Jalev98,I never deleted mine and never will. Never had a more scary experience with a game up until Phasmophobia. One day I'll grow some juevos and play it again lol
Temple_of_Chaos,To enlighten a playstation illiterate what makes his console valuable
kobeyoboy,Congrats I guess? Did u know it was there all along or is ur aunt so cool that she downloaded it when it was available?
RamenSensei,That PlayStation is worth some bucks
HBizzle24,_Don’t trust that dial now we’re just getting started_
Your_Average-Ginger,Gotta love Physical Therapy: the Game
ibreakforturtlez,"My friend group would go to a family farm out in Quebec for a new years bender while we were in high school & after (4 years in a row).

We'd bring all sort of things to keep us occupied over the three days, one being single player or split screen games. PT was played every year, usually by someone who had never done it (core friends could invite a plus 1) while everyone else watched.

Booze + people who don't usually game + lights out = an unforgettable time, every time.

This game holds a lot of good memories!!"
ProbablyBen12,NEVER SELL THAT PS4 ITS WORTH THOUSANDS
Professional-Paper75,And? I have it as well?
yungjed,I remember playing PT at 2 am at a friends house I was scared shitless lol. Shame it got canceled there was a lot of potential for a great horror game
koalaroo_,I have it in my library too but it doesn't let me download it
minari99,Apparently PS4's that have P.T. installed are wanted by gamers because you can't get it anymore from Playstasion Network. So you're basically sitting on gold here.
Captain_Hucklebuck,I thought you can't redownload it if it was every deleted from your hdd.
GERMA90,Never lose that Ps4 account. You can sell it for thousands. And more with the Ps4 included.
SuperAzn727,Your aunt made your console worth money. S tier aunt.
Beefstick247365,Your ps4 just went up in value by 200%
Pink-banana-super,In case for anyone who doesn’t know pt used to be a popular horror game that was removed from the game store so it was incredibly rare for someone to own
