author,comment
TheRyderShotgun,"even better, you dock with the spaceport with no issue, but when you leave you immediately get lit up"
Additional_Low_5606,It's insane that he starts lighting your pod up before you can even see lol
Shoresy69420,"il Baron man in him baron van 

him equipmonk for cause great grief on yor underneaf"
