author,comment
Sargash,1mil is nothing for someone at that point in the game lmao
LocksmithCharming790,4 svd should be no problem. Just run woods and kill sthurman and his guards 2-3 times. Shouldn’t take longer than 3-4 hours if you reset instantly if he is not there.
korewarp,Lmao just don't shoot people at the lighthouse. You dingus. Not everyone you see needs to get shot. This is not a deathmatch game.
DrXyron,"25 raiders on reserve is easy though. SVDs are harder but with pscav often spawning with one, it isn’t the end of the world… 

But yes, not delaying progression is much better."
itsbrave,BATTLESTATE GAMES LIMITED
acaerus,It\`s almost like they making game design decisions based on data gathered only from streamers gameplay :D I mean this will explain A LOT...
BulkyNet7937,games ez quest no cry and youll get him :D
wilck44,"I saw lightkeeper as stupidly grindy but now, wow.

it is even worth the effort for anyone?"
ActionBlyat,"if im on assessment pt1 and see you running there, im 100% shooting (:"
Daniluk41,Fair
BulkyNet7937,"Hey im level 55 and just killed my 1st pmc at the lighthouse died to the guards right after

It then made me start the Make Amends - Buyout quest ( find 4 SVDS fir )

I decided to recode my DSPT takes 12 hours and  retry a lighthouse run, i can confirm you are NOT banned from here after recoding so all hope is not lost!!!! You CAN go to the lightkeeper again  once you recode!!!!!

hope this gives you motivation again for anyone stuck on this bullshit quest"
RedYoshikira,"BSG giveth
BSG taketh
screw the quests
kill those raiders anyway and incentivize using their gear to become stronger.

New reason to not play lighthouse"
vectorseven,That’s heartwarming. I’ve rage quit Tarkov a couple times already. This is my first wipe. I paid attention and used the 556A1 or whatever the better ammo is. Night and day. I hate this game.
