author,comment
Accomplished_Rock_96,"You see, THAT'S why id put demons as enemies in Doom and not turtles and mushrooms."
Garbot,"Meat breakfast, lunch and dinner."
Cool_Kid95,"I just saw the top part at first and was like “aww, how cute!” Then looked down and was like “oh...”"
Kindly_Leg_7976,"Thanks, in need of tissues now.. 😢😢😢"
DirefulArrears924,when you've had enough of green and need some red weird
friendly_investme427,I regret that it took me so long to realize what this implies.
mysteriouslygener403,"You know, how you interpret this depends totally on your choice of interpretation. It will appear like loss if you want it to be depressing. If you want it to be cheerful, it may be excitement for a future date he's considering. The third option, while is humorous, but also be awkward since he might be remembering a recent date on which neither of them did anything other than stare blankly at each other because they shared so little in common."
UnethicallyNervou128,I wish I was still able to play this.
SmellyGoat11,"My brain was trying way too hard to turn this into a 9/11 joke. Took me like a minute to figure out the joke 😂

Good ol' hangover."
yeoup,Is this loss?
MobilePom,Be better without flowers on the bottom
