author,comment
Immortan-Moe-Bro,Your friend played it well and kicked some ass! hopefully I don’t run into you guys tonight but if I do good luck!
McNovaZero,Surprising people with fall jumps is really satisfying. I've only done it a couple times myself but it really works. The fall damage mechanics are quite forgiving in this game.
Tuba-kunt,"That's cool as fuck, shotguns being an absolute menace, a night and day difference from tarkov lol"
