author,comment
MrMustardSNA,"Bruh, that scream. Lmao"
ConceivedEmu,That hey tells me that was not his first time lighting you up lmao
ShakenMemeMagic,"My friend group has one person that does this consistently, and usually ends up either killing one of us, or lighting one of us up at the worst possible times. This friend is one reason I took a break from this game lol"
Shoresy69420,smolppSH
emodemoncam,Certified bruh moment
Mythicguy,HEEEEYYYY
BArhino,hahahahahahha I always wanted to yell like that but I can never bring myself to do it
F_O_R_K_S,volume warning motherfucker god damn you're screaming like someone actually shot you
