author,comment
lifeisagameweplay,"I'll never understand how speedhacks aren't instantly detected and banned. All they need to do it monitor the players position and if it changes at an impossible rate, ban."
SkyWizarding,Is the flamethrower actually an effective weapon?
Derp115LisNEAR,wait what was the cheat?
F_O_R_K_S,"I wish the flamethrower wasn't absolute garbage. It's funny to hose someone down, but it's so bad at killing even NPCs that I thought it might be a tool for something, like the blowtorch is."
