author,comment
TheChefClaw,"SAS guy “Hey man we need you to check out the war map at the CE Outpost”
*kills 20 SAS commandos to look at map*"
appa_the_magic_bum,You knew the risk for 70 years
Crow-Dragon-1226,"I remember hearing that the navy outpost actually belongs to The Central Empire but the Kingdom Alliance sent a SAS team to raid it, and they successfully took it over."
Ayaparry,You know I never really thought about it. Maybe it should be “repair the apc/cannon computer/map/recover bodies” whatever whatever
high_idyet,It is pretty strange to think about. Maybe there's some infighting involved?
