author,comment
R1pp3z,"I used to hang out with my cousin every weekend when we were teens. One time it was raining so we stayed at the house playing video games. I showed him harvest moon and he played that game for 30 hours straight. 

This mfer moves away to work on a farm a few weeks later, no joke."
Cute_Tell_9570,Red dead online is more toxic than gta online lol
ZookeepergameDue8501,Guy looks entirely too much like me
croneclan_legacy,"My *neighbour* had *h o r s e* in 

*A HOUSE*"
guru5112,A very very tiny horse and a very very tiny man
IRON-KROSS,This is epic
PatientRoutineDaily,Ultra deluxe experience
Xonra,You don't need reality either since that picture is photoshopped about 4 different ways.
punknothing,"Gonna need to see them horse balls, just like in the game."
20190419,With authentic horse poop smell!
_leeloo_7_,wonder if it's cold in his room ? I played red dead and know a way to find out !
Wrathb0ne,That horse about to get its ears blasted
NeatRegular9057,Based
greyape1776,Arthur + Wendy's =
TakeoverShark,"God, that horse if buff"
TiMELeSS526,Does the horse play too? If not..sad :(
shotty293,Gun it to 88!
iCyanVortex,Juan evolved
Complete-Ear-7798,There's no way this is real.
whatan09b,Now that is a man.
Sparktank1,Even the overweight cowboy looks horribly photoshopped. Like every part of him is from another overweight cowboy.
DomBellom,Legend
Fantablack183,hmmmm
GardenMonk,The horse is gonna need glasses.
4Floaters,AR 2.0 actual reality
touchy19,Yo that thing boutta shit on the floor
rct1,Nice sim rig
melon_cat-,100% smooth paly
tarzan322,Nothing like Skyrim in VR.
poppenhouse,Vr is a joke
airforcevet1987,Horse immediately trips and dies
evarex10881349,"Wanted: this man


Bounty=5000$"
CaraQueSeVacinou,How did they got the boah there tho?
Heavyoak,"#🐴I got the horses in the back
#📌Horse tack is attached
#🤠Hat is matte black
#👢Got the boots that's black to match
#🐴Riding on a horse, ha
#🏎️You can whip your Porsche
#🏞️I been in the valley
#🏠You ain't been up off the porch, now"
PaniMan1994,There's a good bwoahh..
Atlesi,He is one with the jpeg
Peter_101,Homies playin the title screen
ClanPsi609,Did anyone else read this in a super thick southern accent?
LadyIsabelle_,What in gaming immersion?
Able_Letter8177,VR (very realistic)
Bukki13,"Gta in a stolen car

(That might actually be possible bc steam is coming to certain teslas)"
okrain4606,"It's very close, but it's not enough. You need to do the same, but only on the river bank or in the field."
Terrakinetic,He is staring at that horse like he's the second coming of Mr. Hands.
MetalRevolutionary48,Gonna be a bastard when you have to shoot him
LargeCod2319,Yee haw
Vovun,Imagine the smell.
All-Fired-Up91,Indeed we here at horse ranch gaming have got no virtual reality watchamacallits no siree nothing of the sort around here
RyanTeferici,What da dog doin???
Albion77751,When saw the caption I thought there's gonna be a big rant about how over hyped VR systems are and that it's nothing to be taken serious...but I certainly did not expect this....
Mr_ACGamble,She thinks my horsie's sexy.
AkronsNagy,VR Tetris?
pizzabel,it's crazy that they abandoned this game being so successful
Novikian,"That poor horse, doesn't even have a controller for them to play."
RestfullyRepulsiv342,"Although it's very close, it's insufficient. The same is required of you, but only in the field or along the riverbank."
MercifulPanther754,nice simulation setup
MediumDelirium187,AR 2.0 actual reality
NebTheDestroyer,Repost from r/reddeadredemption
promixr,This is horrifying and animal abuse. Fuck that rodeo clown.
WheelsMahoney,......what's the point? Haha are we doing this for internet recognition 😅
primalavado,dumb
VITE8VOLF,Ruined *we have VR at home*
Ein_Kecks,Let the horse in peace. Allways people who mix up virtuality with reality.
skeptibat,There was a unicorn in The Witcher 3 I believe.
mrlotato,I'm... I'm not sure if that horse is photoshop or not..
ruttinator,This is bad for the horse's eyes.
