author,comment
Vahagn323,\*looks at accuracy %\* Nice.
Michaelscot8,"I wish the Red Barons gear was more consistent. Sometimes he spawns in heavy pilot armor and helmet and destroys you, others he spawns with a baron cap and no vest and falls over when you cough on him."
