author,comment
balmy777,Uhhhh
Tridian,"Ok sure, ""accuracy"" is one thing but hear me out...

The new design looks better.

Same thing with Jinx in Arcane, it's a better outfit."
Farm_N3rd502,There will be a whole lot of one-handed players.
ColoursRock,I don't think it's the outfit that caused this.
DarkestDayOfMan,"""Why Tifa... you've enhanced yourself."""
dj-nek0,I’m not even going to look at the comment and assume there’s 50 about back issues from people who think they’re original.
OblongRectum,lol what the fuck
Ill-Organization-719,Good ol days of looking at artwork of Tifa and Aya Brea on RPGamer.
Potato_Octopi,"That looks so awful, lol."
MdT0001,Wonder how her back is holding up after all this time!
anizebra101,The italians really liked this
HairyArthur,That's a really bad back.
whynotll83,imagine if the itailin court saw this or whatever the place was.
