author,comment
ozymandiaz0,I love this janky ass game
Mythicguy,"Gun said ""No thanks :)"""
jackdiddlywack,"Those dang bugs; When you reload but it never happens. Super frustrating. Dropping it on the ground and picking it back up usually helps, for those who don’t know. Given the right situation, of course."
YungShino01,Same shit happens to me brother you're not alone
OpinionOK_IgnorantNo,dragging ammo manually made me wince
